Evento,Electrones_Finales_Anodo
249,21906122.16680464
250,32890054.734219838
251,40250237.29618586
252,32096730.66219256
253,27537089.454701137
254,20210282.305496383
255,25968008.043318573
256,26135453.181437787
257,42133891.2357605
258,24580508.63349457
259,36676791.458462775
260,23263957.428741395
261,37170112.74238056
262,23611231.71188228
263,31931036.856030863
264,72787988.03306796
265,29706733.2605341
266,29304161.586318392
267,26259859.882288296
268,24529860.529053204
269,33518212.20271526
270,20205407.533714492
271,40619906.45414749
272,30195667.70513529
273,34539667.48347995
274,30313958.094744943
275,28560579.807907302
276,25622155.711513765
277,26218345.308512617
278,68818927.98822738
279,42380598.13452242
280,40993575.02626842
281,41115753.162040755
282,28225415.78943342
283,67047043.64524967
284,37614653.76256304
285,34402498.44993142
286,30547622.57778958
287,26711911.160653178
288,21525205.133128326
289,31918365.68994379
290,40491904.87831552
291,36967934.0862257
292,19513353.49059789
293,32116770.122442205
294,45494160.3941856
295,23021754.20473789
296,88598401.01236896
297,19589559.575054258
298,33674719.408867076
299,29989013.40522311
300,26405771.81481495
301,32522270.838426627
302,31066611.7650952
303,113251529.70605631
304,29686955.043991897
305,22640261.52203763
306,31950543.358805083
307,20728116.37604753
308,33853767.555816256
309,42473548.83742
310,24729977.074566845
